name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_1024x2048, 89268483, 1.553453, 1.265447,
fwht_mat_v3.dim_1024x2048, 135717271, 2.288492, 1.864212,
fwht_mat_v3_prealloc.dim_1024x2048, 137870421, 2.838653, 2.312375,
fwht_mat_rmaj.dim_1024x2048, 10268535, 7.153208, 5.827023,
fwht_mat_rmaj_v2.dim_1024x2048, 6891998, 19.088671, 8.433000,
fwht_mat_rmaj_v3.dim_1024x2048, 7106001, 15.989520, 6.864834,
fwht_mat_rmaj_v31.dim_1024x2048, 6802666, 17.092955, 7.338575,
fwht_mat_rmaj_v4.dim_1024x2048, 6854098, 19.751218, 9.615253,
fwht_mat_rmaj_v41.dim_1024x2048, 6786475, 18.807623, 8.308838,
fwht_mat_rmaj_v5.dim_1024x2048, 7188880, 18.964575, 9.232301,
fwht_fftw_measure_mat.dim_1024x2048, 13541848, 2.133599, 1.738035,
fwht_fftw_estimate_mat.dim_1024x2048, 13754785, 2.012855, 1.639677,
