name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_4096x2048, 862639112, 2.202545, 1.794199,
fwht_mat_v3.dim_4096x2048, 1350242018, 0.986568, 0.803661,
fwht_mat_v3_prealloc.dim_4096x2048, 1379192144, 2.304226, 1.877029,
fwht_mat_rmaj.dim_4096x2048, 53135798, 3.485062, 2.838941,
fwht_mat_rmaj_v2.dim_4096x2048, 49134445, 1.515002, 1.234125,
fwht_mat_rmaj_v3.dim_4096x2048, 49371015, 1.680107, 1.368620,
fwht_mat_rmaj_v31.dim_4096x2048, 49087099, 1.228091, 1.000407,
fwht_mat_rmaj_v4.dim_4096x2048, 49117935, 2.232551, 1.818642,
fwht_mat_rmaj_v41.dim_4096x2048, 48452520, 1.611955, 1.313103,
fwht_mat_rmaj_v5.dim_4096x2048, 48299783, 1.873679, 1.526304,
fwht_fftw_measure_mat.dim_4096x2048, 58808982, 1.654443, 1.347714,
fwht_fftw_estimate_mat.dim_4096x2048, 57976368, 0.595284, 0.484920,
