name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_1024x2048, 108447942, 2.157655, 1.757632,
fwht_mat_v3.dim_1024x2048, 183400978, 1.482682, 1.207797,
fwht_mat_v3_prealloc.dim_1024x2048, 180709128, 1.246368, 1.015295,
fwht_mat_rmaj.dim_1024x2048, 10157236, 7.009637, 5.444338,
fwht_mat_rmaj_v2.dim_1024x2048, 6867374, 16.968416, 9.319140,
fwht_mat_rmaj_v3.dim_1024x2048, 7021792, 23.296552, 3.536236,
fwht_mat_rmaj_v31.dim_1024x2048, 6640954, 19.009836, 8.161556,
fwht_mat_rmaj_v4.dim_1024x2048, 7117175, 20.059836, 5.850944,
fwht_mat_rmaj_v41.dim_1024x2048, 6894677, 21.966273, 6.668620,
fwht_mat_rmaj_v5.dim_1024x2048, 6644679, 21.555653, 7.168552,
fwht_fftw_measure_mat.dim_1024x2048, 13490329, 1.411778, 1.150038,
fwht_fftw_estimate_mat.dim_1024x2048, 14225348, 9.966491, 8.118731,
