name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_4096x4096, 1879475199, 0.497114, 0.404951,
fwht_mat_v3.dim_4096x4096, 4163697315, 1.918698, 1.562977,
fwht_mat_v3_prealloc.dim_4096x4096, 4213847967, 1.351548, 1.100975,
fwht_mat_rmaj.dim_4096x4096, 113091327, 3.895801, 3.173530,
fwht_mat_rmaj_v2.dim_4096x4096, 101450235, 2.209918, 1.800205,
fwht_mat_rmaj_v3.dim_4096x4096, 100179531, 1.144623, 0.932413,
fwht_mat_rmaj_v31.dim_4096x4096, 107694535, 6.152169, 3.543718,
fwht_mat_rmaj_v4.dim_4096x4096, 119133345, 6.287752, 5.122020,
fwht_mat_rmaj_v41.dim_4096x4096, 108349751, 8.119356, 6.614050,
fwht_mat_rmaj_v5.dim_4096x4096, 103749519, 3.060176, 2.492828,
fwht_fftw_measure_mat.dim_4096x4096, 120644440, 1.728135, 1.407744,
fwht_fftw_estimate_mat.dim_4096x4096, 118877294, 1.862073, 1.516850,
