name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_4096x1024, 273778948, 0.872650, 0.710863,
fwht_mat_v3.dim_4096x1024, 487476528, 0.631808, 0.514673,
fwht_mat_v3_prealloc.dim_4096x1024, 319946297, 2.680988, 2.183940,
fwht_mat_rmaj.dim_4096x1024, 25399764, 3.458161, 2.817027,
fwht_mat_rmaj_v2.dim_4096x1024, 23198652, 4.244732, 3.457770,
fwht_mat_rmaj_v3.dim_4096x1024, 23035167, 4.630631, 3.772124,
fwht_mat_rmaj_v31.dim_4096x1024, 23070407, 5.629793, 4.586045,
fwht_mat_rmaj_v4.dim_4096x1024, 22277415, 5.305020, 4.321483,
fwht_mat_rmaj_v41.dim_4096x1024, 23421394, 6.153868, 5.012958,
fwht_mat_rmaj_v5.dim_4096x1024, 21765063, 4.517332, 3.679831,
fwht_fftw_measure_mat.dim_4096x1024, 29331367, 1.063963, 0.866707,
fwht_fftw_estimate_mat.dim_4096x1024, 29130277, 0.614056, 0.500212,
