name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_1024x1024, 34242691, 4.826841, 3.931958,
fwht_mat_v3.dim_1024x1024, 46785205, 3.534849, 2.879498,
fwht_mat_v3_prealloc.dim_1024x1024, 48553757, 5.220032, 4.252253,
fwht_mat_rmaj.dim_1024x1024, 4155085, 12.442783, 6.410522,
fwht_mat_rmaj_v2.dim_1024x1024, 2008049, 27.093114, 9.010091,
fwht_mat_rmaj_v3.dim_1024x1024, 2054857, 28.955705, 7.693360,
fwht_mat_rmaj_v31.dim_1024x1024, 1929254, 25.985617, 8.714709,
fwht_mat_rmaj_v4.dim_1024x1024, 2021858, 24.064204, 8.435687,
fwht_mat_rmaj_v41.dim_1024x1024, 1894017, 23.116536, 8.595042,
fwht_mat_rmaj_v5.dim_1024x1024, 1860520, 24.096178, 8.369754,
fwht_fftw_measure_mat.dim_1024x1024, 6713113, 2.841453, 1.956241,
fwht_fftw_estimate_mat.dim_1024x1024, 6671696, 3.177207, 2.113225,
