name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_8192x8192, 11450434703, 1.341226, 1.092566,
fwht_mat_v3.dim_8192x8192, 22170696284, 1.163837, 0.948065,
fwht_mat_v3_prealloc.dim_8192x8192, 22422072153, 0.971244, 0.791178,
fwht_mat_rmaj.dim_8192x8192, 484473294, 1.265692, 1.031036,
fwht_mat_rmaj_v2.dim_8192x8192, 453382180, 2.738631, 2.230896,
fwht_mat_rmaj_v3.dim_8192x8192, 448225203, 0.921789, 0.750891,
fwht_mat_rmaj_v31.dim_8192x8192, 451652758, 3.663852, 2.984584,
fwht_mat_rmaj_v4.dim_8192x8192, 508023564, 5.106830, 4.160037,
fwht_mat_rmaj_v41.dim_8192x8192, 454171661, 2.879377, 2.345548,
fwht_mat_rmaj_v5.dim_8192x8192, 444291293, 1.011928, 0.824320,
fwht_fftw_measure_mat.dim_8192x8192, 496958869, 0.721919, 0.588077,
fwht_fftw_estimate_mat.dim_8192x8192, 502546233, 1.850193, 1.507172,
