name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_8192x2048, 2334572359, 1.825796, 1.487299,
fwht_mat_v3.dim_8192x2048, 3426301178, 1.729981, 1.409247,
fwht_mat_v3_prealloc.dim_8192x2048, 3359113320, 1.597197, 1.301081,
fwht_mat_rmaj.dim_8192x2048, 118462577, 1.857670, 1.513263,
fwht_mat_rmaj_v2.dim_8192x2048, 123361372, 7.487111, 6.099021,
fwht_mat_rmaj_v3.dim_8192x2048, 119480107, 6.563154, 5.346363,
fwht_mat_rmaj_v31.dim_8192x2048, 119028564, 5.031419, 4.098608,
fwht_mat_rmaj_v4.dim_8192x2048, 118347227, 7.451547, 6.070051,
fwht_mat_rmaj_v41.dim_8192x2048, 112665789, 3.801669, 3.096850,
fwht_mat_rmaj_v5.dim_8192x2048, 108827420, 2.457379, 2.001788,
fwht_fftw_measure_mat.dim_8192x2048, 127454665, 3.360052, 2.737107,
fwht_fftw_estimate_mat.dim_8192x2048, 123923789, 0.813974, 0.663065,
