name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_2048x4096, 680420848, 3.161397, 2.575283,
fwht_mat_v3.dim_2048x4096, 1446381446, 2.046625, 1.667186,
fwht_mat_v3_prealloc.dim_2048x4096, 1464570469, 2.983745, 2.430567,
fwht_mat_rmaj.dim_2048x4096, 56081705, 5.792616, 4.718680,
fwht_mat_rmaj_v2.dim_2048x4096, 47431747, 1.962891, 1.130647,
fwht_mat_rmaj_v3.dim_2048x4096, 48013080, 1.798096, 1.464734,
fwht_mat_rmaj_v31.dim_2048x4096, 47715158, 2.926065, 1.685446,
fwht_mat_rmaj_v4.dim_2048x4096, 46858755, 1.191914, 0.970936,
fwht_mat_rmaj_v41.dim_2048x4096, 46940516, 2.616241, 2.131197,
fwht_mat_rmaj_v5.dim_2048x4096, 49567998, 9.796789, 7.980491,
fwht_fftw_measure_mat.dim_2048x4096, 56748619, 2.916769, 2.376008,
fwht_fftw_estimate_mat.dim_2048x4096, 56958709, 1.096924, 0.893557,
