name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_1024x4096, 310015815, 0.794575, 0.647263,
fwht_mat_v3.dim_1024x4096, 569997685, 2.652324, 2.160591,
fwht_mat_v3_prealloc.dim_1024x4096, 579448216, 2.012141, 1.639096,
fwht_mat_rmaj.dim_1024x4096, 22295933, 4.314835, 3.514877,
fwht_mat_rmaj_v2.dim_1024x4096, 19399348, 3.185100, 2.594591,
fwht_mat_rmaj_v3.dim_1024x4096, 19791656, 5.511415, 4.489614,
fwht_mat_rmaj_v31.dim_1024x4096, 19882024, 3.953772, 3.220753,
fwht_mat_rmaj_v4.dim_1024x4096, 19038926, 5.044835, 4.109536,
fwht_mat_rmaj_v41.dim_1024x4096, 18843681, 3.936679, 3.206830,
fwht_mat_rmaj_v5.dim_1024x4096, 18778874, 3.846229, 3.133148,
fwht_fftw_measure_mat.dim_1024x4096, 26730937, 1.316634, 1.072534,
fwht_fftw_estimate_mat.dim_1024x4096, 27382699, 1.625069, 1.323786,
