name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_4096x8192, 4104615092, 2.560553, 2.085834,
fwht_mat_v3.dim_4096x8192, 9163882170, 0.838290, 0.682873,
fwht_mat_v3_prealloc.dim_4096x8192, 9139382831, 0.865484, 0.705025,
fwht_mat_rmaj.dim_4096x8192, 216933993, 1.276859, 1.040133,
fwht_mat_rmaj_v2.dim_4096x8192, 205531875, 3.680574, 2.998205,
fwht_mat_rmaj_v3.dim_4096x8192, 201976671, 1.819213, 1.481935,
fwht_mat_rmaj_v31.dim_4096x8192, 203796019, 4.073601, 3.318366,
fwht_mat_rmaj_v4.dim_4096x8192, 202809112, 1.222143, 0.995561,
fwht_mat_rmaj_v41.dim_4096x8192, 218813676, 2.509860, 2.044538,
fwht_mat_rmaj_v5.dim_4096x8192, 219160954, 5.457800, 4.445939,
fwht_fftw_measure_mat.dim_4096x8192, 244549603, 4.236884, 3.451377,
fwht_fftw_estimate_mat.dim_4096x8192, 235664958, 1.023544, 0.833781,
