name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_4096x2048, 949985725, 0.842335, 0.686169,
fwht_mat_v3.dim_4096x2048, 1530338590, 2.762979, 2.250730,
fwht_mat_v3_prealloc.dim_4096x2048, 1480975914, 0.538127, 0.438359,
fwht_mat_rmaj.dim_4096x2048, 53063793, 3.075713, 2.505484,
fwht_mat_rmaj_v2.dim_4096x2048, 50165104, 4.707646, 3.834861,
fwht_mat_rmaj_v3.dim_4096x2048, 48696072, 2.332966, 1.900440,
fwht_mat_rmaj_v31.dim_4096x2048, 50822655, 7.533687, 6.136962,
fwht_mat_rmaj_v4.dim_4096x2048, 58396873, 5.349703, 4.357883,
fwht_mat_rmaj_v41.dim_4096x2048, 53527359, 3.085627, 2.513560,
fwht_mat_rmaj_v5.dim_4096x2048, 55192877, 10.396825, 8.469282,
fwht_fftw_measure_mat.dim_4096x2048, 62010189, 1.612254, 1.313347,
fwht_fftw_estimate_mat.dim_4096x2048, 63606022, 6.215064, 5.062808,
