name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_1024x8192, 683116419, 8.827421, 7.190841,
fwht_mat_v3.dim_1024x8192, 1249944635, 1.571909, 1.280481,
fwht_mat_v3_prealloc.dim_1024x8192, 1235447996, 2.441592, 1.988927,
fwht_mat_rmaj.dim_1024x8192, 44322181, 2.459168, 2.003245,
fwht_mat_rmaj_v2.dim_1024x8192, 40954405, 3.649862, 2.973188,
fwht_mat_rmaj_v3.dim_1024x8192, 42764766, 3.546198, 2.888742,
fwht_mat_rmaj_v31.dim_1024x8192, 41234529, 3.040753, 1.751508,
fwht_mat_rmaj_v4.dim_1024x8192, 40649429, 2.842964, 2.315886,
fwht_mat_rmaj_v41.dim_1024x8192, 41352066, 3.877804, 3.158870,
fwht_mat_rmaj_v5.dim_1024x8192, 40322976, 1.704607, 1.388577,
fwht_fftw_measure_mat.dim_1024x8192, 53389849, 0.964391, 0.785596,
fwht_fftw_estimate_mat.dim_1024x8192, 54022716, 1.349346, 1.099181,
