name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_8192x4096, 5010978917, 1.222415, 0.995782,
fwht_mat_v3.dim_8192x4096, 10462897410, 0.805774, 0.656386,
fwht_mat_v3_prealloc.dim_8192x4096, 10518221582, 1.012830, 0.825054,
fwht_mat_rmaj.dim_8192x4096, 243651092, 2.014918, 1.641358,
fwht_mat_rmaj_v2.dim_8192x4096, 238435456, 6.950204, 5.661655,
fwht_mat_rmaj_v3.dim_8192x4096, 242702998, 2.830469, 2.305708,
fwht_mat_rmaj_v31.dim_8192x4096, 252762324, 8.184968, 6.667497,
fwht_mat_rmaj_v4.dim_8192x4096, 235209143, 2.574886, 2.097509,
fwht_mat_rmaj_v41.dim_8192x4096, 243998921, 6.025817, 4.908647,
fwht_mat_rmaj_v5.dim_8192x4096, 247723302, 3.882578, 3.162758,
fwht_fftw_measure_mat.dim_8192x4096, 249402767, 1.960219, 1.596800,
fwht_fftw_estimate_mat.dim_8192x4096, 253899844, 1.297324, 1.056804,
