name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_8192x2048, 2122401330, 1.893492, 1.542444,
fwht_mat_v3.dim_8192x2048, 3412701533, 1.443029, 1.175495,
fwht_mat_v3_prealloc.dim_8192x2048, 3359511420, 1.388364, 1.130965,
fwht_mat_rmaj.dim_8192x2048, 126526601, 9.914468, 8.076352,
fwht_mat_rmaj_v2.dim_8192x2048, 109579047, 2.628686, 2.141335,
fwht_mat_rmaj_v3.dim_8192x2048, 106985860, 1.298374, 1.057659,
fwht_mat_rmaj_v31.dim_8192x2048, 109654533, 3.731402, 3.039611,
fwht_mat_rmaj_v4.dim_8192x2048, 125339264, 11.965305, 9.746970,
fwht_mat_rmaj_v41.dim_8192x2048, 135702085, 8.244142, 6.715701,
fwht_mat_rmaj_v5.dim_8192x2048, 124152946, 2.493075, 2.030866,
fwht_fftw_measure_mat.dim_8192x2048, 143661082, 6.357176, 5.178573,
fwht_fftw_estimate_mat.dim_8192x2048, 134076758, 4.153062, 3.383095,
