name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_2048x4096, 747416287, 4.570606, 3.723228,
fwht_mat_v3.dim_2048x4096, 1515217931, 0.737932, 0.601122,
fwht_mat_v3_prealloc.dim_2048x4096, 1526050810, 2.267408, 1.847037,
fwht_mat_rmaj.dim_2048x4096, 49713986, 2.690181, 2.191428,
fwht_mat_rmaj_v2.dim_2048x4096, 44886220, 3.834218, 3.123364,
fwht_mat_rmaj_v3.dim_2048x4096, 45269951, 5.370926, 4.375171,
fwht_mat_rmaj_v31.dim_2048x4096, 47802372, 11.339449, 9.237146,
fwht_mat_rmaj_v4.dim_2048x4096, 45049951, 2.511574, 2.045935,
fwht_mat_rmaj_v41.dim_2048x4096, 44176527, 3.386222, 2.758425,
fwht_mat_rmaj_v5.dim_2048x4096, 44990455, 3.299977, 2.688170,
fwht_fftw_measure_mat.dim_2048x4096, 56613866, 0.951989, 0.775493,
fwht_fftw_estimate_mat.dim_2048x4096, 56152245, 0.650735, 0.530091,
