name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_1024x4096, 320127801, 1.883640, 1.534418,
fwht_mat_v3.dim_1024x4096, 584305545, 2.068806, 1.685255,
fwht_mat_v3_prealloc.dim_1024x4096, 579981709, 1.708260, 1.391554,
fwht_mat_rmaj.dim_1024x4096, 21216667, 2.552733, 2.079463,
fwht_mat_rmaj_v2.dim_1024x4096, 19830083, 8.330672, 6.786188,
fwht_mat_rmaj_v3.dim_1024x4096, 18961357, 3.246690, 2.644762,
fwht_mat_rmaj_v31.dim_1024x4096, 19938582, 7.198467, 5.863891,
fwht_mat_rmaj_v4.dim_1024x4096, 19167297, 4.326237, 3.524165,
fwht_mat_rmaj_v41.dim_1024x4096, 18933185, 4.581681, 3.732250,
fwht_mat_rmaj_v5.dim_1024x4096, 19989009, 7.493603, 6.104309,
fwht_fftw_measure_mat.dim_1024x4096, 26808128, 1.867944, 1.521632,
fwht_fftw_estimate_mat.dim_1024x4096, 27175485, 1.539610, 1.254171,
