name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_2048x2048, 313901512, 2.462735, 2.006150,
fwht_mat_v3.dim_2048x2048, 587665945, 0.889004, 0.724185,
fwht_mat_v3_prealloc.dim_2048x2048, 587151526, 0.804054, 0.654985,
fwht_mat_rmaj.dim_2048x2048, 23792891, 2.284218, 1.860730,
fwht_mat_rmaj_v2.dim_2048x2048, 21287578, 3.425896, 2.790744,
fwht_mat_rmaj_v3.dim_2048x2048, 21713187, 4.955988, 4.037161,
fwht_mat_rmaj_v31.dim_2048x2048, 22408616, 8.695682, 7.083526,
fwht_mat_rmaj_v4.dim_2048x2048, 21028518, 3.761872, 3.064431,
fwht_mat_rmaj_v41.dim_2048x2048, 21001769, 6.316545, 5.145475,
fwht_mat_rmaj_v5.dim_2048x2048, 20686263, 4.326895, 3.524700,
fwht_fftw_measure_mat.dim_2048x2048, 28167080, 1.198521, 0.976318,
fwht_fftw_estimate_mat.dim_2048x2048, 28198648, 1.634633, 1.331576,
