name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_1024x8192, 642937958, 0.848859, 0.691483,
fwht_mat_v3.dim_1024x8192, 1276467183, 2.905931, 2.367179,
fwht_mat_v3_prealloc.dim_1024x8192, 1225390910, 0.348668, 0.284026,
fwht_mat_rmaj.dim_1024x8192, 44701777, 1.753447, 1.428363,
fwht_mat_rmaj_v2.dim_1024x8192, 41224098, 6.155630, 5.014393,
fwht_mat_rmaj_v3.dim_1024x8192, 40788746, 2.667578, 2.173017,
fwht_mat_rmaj_v31.dim_1024x8192, 40917894, 2.788229, 2.271299,
fwht_mat_rmaj_v4.dim_1024x8192, 41831425, 4.374923, 3.563824,
fwht_mat_rmaj_v41.dim_1024x8192, 41345910, 2.518441, 2.051529,
fwht_mat_rmaj_v5.dim_1024x8192, 40509962, 3.574099, 2.911471,
fwht_fftw_measure_mat.dim_1024x8192, 55373858, 5.087629, 4.144397,
fwht_fftw_estimate_mat.dim_1024x8192, 54717340, 2.044635, 1.665565,
