name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_8192x8192, 12147598183, 0.824018, 0.671247,
fwht_mat_v3.dim_8192x8192, 21435330873, 0.642405, 0.523305,
fwht_mat_v3_prealloc.dim_8192x8192, 21701458499, 0.676707, 0.551248,
fwht_mat_rmaj.dim_8192x8192, 477132075, 4.846029, 3.947588,
fwht_mat_rmaj_v2.dim_8192x8192, 434870216, 0.767655, 0.625334,
fwht_mat_rmaj_v3.dim_8192x8192, 460473439, 4.338755, 3.534362,
fwht_mat_rmaj_v31.dim_8192x8192, 443366862, 3.021982, 2.461715,
fwht_mat_rmaj_v4.dim_8192x8192, 438444381, 4.122061, 3.357842,
fwht_mat_rmaj_v41.dim_8192x8192, 455450950, 2.081645, 1.695714,
fwht_mat_rmaj_v5.dim_8192x8192, 439227481, 3.009585, 2.451616,
fwht_fftw_measure_mat.dim_8192x8192, 494327269, 0.839274, 0.683675,
fwht_fftw_estimate_mat.dim_8192x8192, 502809257, 1.752688, 1.427745,
