name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_2048x2048, 358678345, 2.654773, 2.162586,
fwht_mat_v3.dim_2048x2048, 537203579, 1.845023, 1.502961,
fwht_mat_v3_prealloc.dim_2048x2048, 532420270, 0.591320, 0.481691,
fwht_mat_rmaj.dim_2048x2048, 23814354, 3.576961, 2.913802,
fwht_mat_rmaj_v2.dim_2048x2048, 21792693, 8.624714, 7.025716,
fwht_mat_rmaj_v3.dim_2048x2048, 20939889, 4.918192, 4.006373,
fwht_mat_rmaj_v31.dim_2048x2048, 21676634, 5.245999, 4.273405,
fwht_mat_rmaj_v4.dim_2048x2048, 21199793, 4.733952, 3.856290,
fwht_mat_rmaj_v41.dim_2048x2048, 21277855, 6.010212, 4.895935,
fwht_mat_rmaj_v5.dim_2048x2048, 20804539, 4.446596, 3.622209,
fwht_fftw_measure_mat.dim_2048x2048, 28408124, 1.411777, 1.150037,
fwht_fftw_estimate_mat.dim_2048x2048, 27884298, 0.837197, 0.681983,
