name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_1024x1024, 32328759, 2.629127, 2.141694,
fwht_mat_v3.dim_1024x1024, 48366400, 6.498647, 5.293816,
fwht_mat_v3_prealloc.dim_1024x1024, 48076649, 6.540518, 5.327924,
fwht_mat_rmaj.dim_1024x1024, 4018918, 13.920296, 7.319623,
fwht_mat_rmaj_v2.dim_1024x1024, 1898399, 18.877692, 7.169945,
fwht_mat_rmaj_v3.dim_1024x1024, 1884722, 20.297051, 6.806954,
fwht_mat_rmaj_v31.dim_1024x1024, 1881977, 28.077388, 9.260568,
fwht_mat_rmaj_v4.dim_1024x1024, 1864200, 17.677205, 6.439831,
fwht_mat_rmaj_v41.dim_1024x1024, 1770425, 19.637609, 6.642330,
fwht_mat_rmaj_v5.dim_1024x1024, 1768178, 16.909420, 5.487876,
fwht_fftw_measure_mat.dim_1024x1024, 6740344, 3.654970, 2.516319,
fwht_fftw_estimate_mat.dim_1024x1024, 6662777, 2.749657, 1.893043,
