name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_2048x8192, 1512459742, 2.669234, 2.174366,
fwht_mat_v3.dim_2048x8192, 3361105623, 1.824007, 1.485841,
fwht_mat_v3_prealloc.dim_2048x8192, 3324273002, 1.503130, 1.224454,
fwht_mat_rmaj.dim_2048x8192, 97829187, 2.238997, 1.823893,
fwht_mat_rmaj_v2.dim_2048x8192, 91134336, 1.460039, 1.189352,
fwht_mat_rmaj_v3.dim_2048x8192, 91171188, 1.976929, 1.610412,
fwht_mat_rmaj_v31.dim_2048x8192, 91757514, 2.181885, 1.777369,
fwht_mat_rmaj_v4.dim_2048x8192, 92720098, 9.154131, 7.456980,
fwht_mat_rmaj_v41.dim_2048x8192, 91982890, 2.808219, 2.287583,
fwht_mat_rmaj_v5.dim_2048x8192, 91184976, 2.285552, 1.861817,
fwht_fftw_measure_mat.dim_2048x8192, 113038026, 0.936511, 0.762885,
fwht_fftw_estimate_mat.dim_2048x8192, 115690306, 4.172645, 3.399048,
