name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_8192x1024, 707480456, 0.808190, 0.658354,
fwht_mat_v3.dim_8192x1024, 1028952934, 1.072602, 0.873745,
fwht_mat_v3_prealloc.dim_8192x1024, 1034296801, 2.134714, 1.738944,
fwht_mat_rmaj.dim_8192x1024, 58808459, 2.511775, 2.046099,
fwht_mat_rmaj_v2.dim_8192x1024, 54239472, 2.364292, 1.925959,
fwht_mat_rmaj_v3.dim_8192x1024, 54984027, 4.655259, 3.792187,
fwht_mat_rmaj_v31.dim_8192x1024, 53427846, 1.987653, 1.619147,
fwht_mat_rmaj_v4.dim_8192x1024, 53036733, 1.966585, 1.601986,
fwht_mat_rmaj_v41.dim_8192x1024, 57096557, 10.816965, 8.811529,
fwht_mat_rmaj_v5.dim_8192x1024, 53786685, 2.810363, 2.289329,
fwht_fftw_measure_mat.dim_8192x1024, 62543957, 0.391548, 0.318956,
fwht_fftw_estimate_mat.dim_8192x1024, 62312167, 1.200380, 0.977832,
