name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_4096x4096, 1829761941, 1.649583, 1.343755,
fwht_mat_v3.dim_4096x4096, 4056311799, 1.017620, 0.828956,
fwht_mat_v3_prealloc.dim_4096x4096, 4103636075, 2.098176, 1.709180,
fwht_mat_rmaj.dim_4096x4096, 110022479, 11.859255, 9.660581,
fwht_mat_rmaj_v2.dim_4096x4096, 97990518, 2.465686, 2.008554,
fwht_mat_rmaj_v3.dim_4096x4096, 98533009, 2.580014, 2.101686,
fwht_mat_rmaj_v31.dim_4096x4096, 97471539, 1.468807, 1.196494,
fwht_mat_rmaj_v4.dim_4096x4096, 97590327, 1.760449, 1.434067,
fwht_mat_rmaj_v41.dim_4096x4096, 96183854, 1.146093, 0.933610,
fwht_mat_rmaj_v5.dim_4096x4096, 97564517, 1.966322, 1.601771,
fwht_fftw_measure_mat.dim_4096x4096, 116990412, 0.547768, 0.446213,
fwht_fftw_estimate_mat.dim_4096x4096, 116730658, 0.621618, 0.506371,
