name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_4096x8192, 3817656641, 1.259601, 1.026074,
fwht_mat_v3.dim_4096x8192, 8975948866, 1.609618, 1.311199,
fwht_mat_v3_prealloc.dim_4096x8192, 9013119485, 1.038202, 0.845722,
fwht_mat_rmaj.dim_4096x8192, 216668760, 2.823518, 2.300045,
fwht_mat_rmaj_v2.dim_4096x8192, 209202356, 6.599887, 5.376286,
fwht_mat_rmaj_v3.dim_4096x8192, 207789528, 8.739268, 7.119032,
fwht_mat_rmaj_v31.dim_4096x8192, 203152557, 5.027535, 4.095444,
fwht_mat_rmaj_v4.dim_4096x8192, 220555300, 7.039121, 5.734087,
fwht_mat_rmaj_v41.dim_4096x8192, 207567796, 8.412370, 6.852739,
fwht_mat_rmaj_v5.dim_4096x8192, 262012147, 11.081929, 9.027370,
fwht_fftw_measure_mat.dim_4096x8192, 239444629, 3.512025, 2.860905,
fwht_fftw_estimate_mat.dim_4096x8192, 239257738, 2.144297, 1.746750,
