name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_2048x8192, 1438747336, 0.315551, 0.257049,
fwht_mat_v3.dim_2048x8192, 3250088433, 0.945707, 0.770375,
fwht_mat_v3_prealloc.dim_2048x8192, 3294367992, 1.522359, 1.240117,
fwht_mat_rmaj.dim_2048x8192, 108876850, 11.171854, 9.100623,
fwht_mat_rmaj_v2.dim_2048x8192, 99503068, 3.475487, 2.831141,
fwht_mat_rmaj_v3.dim_2048x8192, 93484739, 2.343991, 1.909421,
fwht_mat_rmaj_v31.dim_2048x8192, 90386144, 2.479802, 2.020054,
fwht_mat_rmaj_v4.dim_2048x8192, 89995556, 1.087145, 0.885591,
fwht_mat_rmaj_v41.dim_2048x8192, 91613381, 1.877313, 1.529264,
fwht_mat_rmaj_v5.dim_2048x8192, 90894302, 1.274824, 1.038475,
fwht_fftw_measure_mat.dim_2048x8192, 113120981, 1.115337, 0.908557,
fwht_fftw_estimate_mat.dim_2048x8192, 112088955, 1.881030, 1.532292,
