name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_2048x1024, 109576721, 0.804523, 0.655367,
fwht_mat_v3.dim_2048x1024, 148946686, 1.276639, 1.039953,
fwht_mat_v3_prealloc.dim_2048x1024, 147756403, 1.804200, 1.469706,
fwht_mat_rmaj.dim_2048x1024, 11168428, 4.921947, 4.009431,
fwht_mat_rmaj_v2.dim_2048x1024, 7348772, 19.319704, 9.086271,
fwht_mat_rmaj_v3.dim_2048x1024, 7514963, 18.662531, 5.917584,
fwht_mat_rmaj_v31.dim_2048x1024, 7541207, 20.812061, 6.599165,
fwht_mat_rmaj_v4.dim_2048x1024, 7534620, 15.261828, 8.381873,
fwht_mat_rmaj_v41.dim_2048x1024, 7664961, 19.286408, 8.782582,
fwht_mat_rmaj_v5.dim_2048x1024, 7218887, 16.943288, 5.634663,
fwht_fftw_measure_mat.dim_2048x1024, 13845696, 1.189431, 0.968914,
fwht_fftw_estimate_mat.dim_2048x1024, 14251838, 1.838755, 1.497855,
