name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_4096x1024, 383421563, 0.855744, 0.697091,
fwht_mat_v3.dim_4096x1024, 538868698, 3.382244, 2.755185,
fwht_mat_v3_prealloc.dim_4096x1024, 517801065, 2.913576, 2.373407,
fwht_mat_rmaj.dim_4096x1024, 26681953, 4.778838, 3.892854,
fwht_mat_rmaj_v2.dim_4096x1024, 24784320, 5.961576, 4.856316,
fwht_mat_rmaj_v3.dim_4096x1024, 23019659, 5.910149, 4.814423,
fwht_mat_rmaj_v31.dim_4096x1024, 22830800, 3.045587, 2.480943,
fwht_mat_rmaj_v4.dim_4096x1024, 23196975, 5.411656, 4.408350,
fwht_mat_rmaj_v41.dim_4096x1024, 22517999, 4.083496, 3.326427,
fwht_mat_rmaj_v5.dim_4096x1024, 22695634, 3.837269, 3.125850,
fwht_fftw_measure_mat.dim_4096x1024, 29830476, 1.291756, 1.052268,
fwht_fftw_estimate_mat.dim_4096x1024, 30578717, 4.729925, 3.853010,
