name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_8192x1024, 828925031, 2.752801, 2.242439,
fwht_mat_v3.dim_8192x1024, 1036183979, 1.629838, 1.327670,
fwht_mat_v3_prealloc.dim_8192x1024, 1094590986, 3.007704, 2.450084,
fwht_mat_rmaj.dim_8192x1024, 61129292, 9.357511, 7.622654,
fwht_mat_rmaj_v2.dim_8192x1024, 56824899, 10.962016, 8.929688,
fwht_mat_rmaj_v3.dim_8192x1024, 52601197, 1.733567, 1.412168,
fwht_mat_rmaj_v31.dim_8192x1024, 52435277, 2.556511, 2.082541,
fwht_mat_rmaj_v4.dim_8192x1024, 52629447, 2.341053, 1.907028,
fwht_mat_rmaj_v41.dim_8192x1024, 53230214, 2.079908, 1.694299,
fwht_mat_rmaj_v5.dim_8192x1024, 51613331, 2.324893, 1.893864,
fwht_fftw_measure_mat.dim_8192x1024, 61706767, 0.693883, 0.565239,
fwht_fftw_estimate_mat.dim_8192x1024, 61242746, 1.134516, 0.924180,
