name, mean (ns), stddev (%), confidence (%)
fwht_mat.dim_8192x4096, 5535061943, 1.261765, 1.027837,
fwht_mat_v3.dim_8192x4096, 10400334897, 0.575046, 0.468434,
fwht_mat_v3_prealloc.dim_8192x4096, 10433364817, 1.035542, 0.843555,
fwht_mat_rmaj.dim_8192x4096, 260058473, 5.103383, 4.157230,
fwht_mat_rmaj_v2.dim_8192x4096, 226122887, 5.375744, 4.379096,
fwht_mat_rmaj_v3.dim_8192x4096, 222922072, 3.897611, 3.175004,
fwht_mat_rmaj_v31.dim_8192x4096, 219544842, 1.345084, 1.095709,
fwht_mat_rmaj_v4.dim_8192x4096, 218564265, 1.463173, 1.191905,
fwht_mat_rmaj_v41.dim_8192x4096, 220099983, 4.011309, 3.267623,
fwht_mat_rmaj_v5.dim_8192x4096, 217287692, 1.073405, 0.874399,
fwht_fftw_measure_mat.dim_8192x4096, 256646722, 0.735519, 0.599156,
fwht_fftw_estimate_mat.dim_8192x4096, 253398596, 2.788287, 2.271346,
